Date, Time, Event
09-Jul-2026,15:08:12,LWM2M: Notify: 10376  : 0  : 6  Status: 0  Ack: 0 
09-Jul-2026,15:08:16,NBIT: Temp(C): 27  Volt(mV): 3007  Modem Power State: SLEEP 
09-Jul-2026,15:08:16,NBIT: Temp(C): 27  Volt(mV): 3007  Modem Power State: SLEEP 
09-Jul-2026,15:09:03,LWM2M: Reading Next Run Time: 09-Jul-2026 15:10:03 
09-Jul-2026,15:09:25,NBIT: Temp(C): 27  Volt(mV): 3007  Modem Power State: ACTIVE 
09-Jul-2026,15:09:28,NBIT: Cereg: 2 
09-Jul-2026,15:09:31,DBG: SIM?
09-Jul-2026,15:09:31,DBG: SMOK
09-Jul-2026,15:09:31,DBG: QCCI
09-Jul-2026,15:09:31,NBIT: Cereg: 1 
09-Jul-2026,15:09:31,DBG: NTW1
09-Jul-2026,15:09:33,DBG: EDRX
09-Jul-2026,15:09:33,NBIT: Cereg: 1 
09-Jul-2026,15:09:33,DBG: +IP
09-Jul-2026,15:09:37,NBIT: SINR: 0  RSSI: 16 
09-Jul-2026,15:09:39,DBG: NBOT
09-Jul-2026,15:09:42,DBG: LREG
09-Jul-2026,15:09:42,NBIT: Transmission: 3440 
09-Jul-2026,15:09:43,DBG: QCNF
09-Jul-2026,15:09:43,NBIT: Earfcn: 3701 
09-Jul-2026,15:09:43,NBIT: Pci: 299  EarfcnOffset: 2 
09-Jul-2026,15:09:43,NBIT: Cell ID: 03F91A7A 
09-Jul-2026,15:09:43,NBIT: RSRQ: -9  RSRP: -88 
09-Jul-2026,15:09:43,NBIT: SINR: 2  RSSI: -79 
09-Jul-2026,15:09:43,NBIT: TAC: 29901  Band: 8 
09-Jul-2026,15:09:43,NBIT: Opr Mode: 3  Tx Power: 90  ECL: 0 
09-Jul-2026,15:09:43,NBIT: Sleep Duration: 0 
09-Jul-2026,15:09:43,NBIT: Rx Time(s): 89 
09-Jul-2026,15:09:43,NBIT: Tx Time(s): 10 
09-Jul-2026,15:09:43,LWM2M: Request: 10376  : 0  : 6  Type: 10  Status: 0 
09-Jul-2026,15:09:43,LWM2M: Request: 9  : 0  : 1  Type: 10  Status: 0 
09-Jul-2026,15:09:43,LWM2M: Request: 9  : 0  : 9  Type: 10  Status: 0 
09-Jul-2026,15:09:44,LWM2M: Request: 10376  : 1  : 6  Type: 10  Status: 0 
