No,Log (PC App),Log (OneTouchApp),Explanation
1,FLSV: LWM2M Readings Not Dispatched: 0,FLSV: LWM2M Readings Not Dispatched: 0,Failsafe message for not dispatched reading logs.
2,FLSV: MCU Reset> Firmware Update: 0800066D,FLSV: MCU Reset> Firmware Update: 0800066D,Failsafe message for firmware update
3,FLSV: MCU Reset> PVD/PVM: 0800066D,FLSV: MCU Reset> PVD/PVM: 0800066D,Failsafe message for PVD in device.
4,GKCOAP: Report Next Time: 27/03/26 02:03:15,GKCOAP: Report Next Time: 27/03/26 02:03:15,Next GKCOAP reporting time
5,LOGG: Meter Log: 25783,LOGG: Meter Log: 25783,Total reading logs
6,LWM2M: Alarm Next Sample Time: 25/03/26 02:41:15,LWM2M: Alarm Next Sample Time: 25/03/26 02:41:15,Next alarm sample time
7,LWM2M: Execute: 9 : 0 : 10 Status: 2 Result: 15,LWM2M: Execute: 9 : 0 : 10 Status: 2 Result: 15,FOTA command for firmware activation
8,LWM2M: Notify: 10376 : 0 : 6 Status: 1 Ack: 2,LWM2M: Notify: 10376 : 0 : 6 Status: 1 Ack: 2,LWM2M resource for readings
9,LWM2M: Query Next Dispatch Time: 24/03/26 02:30:12,LWM2M: Query Next Dispatch Time: 24/03/26 02:30:12,Next query transmission time
10,LWM2M: Reading Next Dispatch Time: 24-03-26 02:30:12,LWM2M: Reading Next Dispatch Time: 24-03-26 02:30:12,Next reading transmission time
11,LWM2M: Request: 9 : 0 : 10 Type: 9 Status: 0,LWM2M: Request: 9 : 0 : 10 Type: 9 Status: 0,FOTA command to request firmware activation
12,LWM2M: Status Next Run Time: 23-03-26 03:00:00,LWM2M: Status Next Run Time: 23-03-26 03:00:00,Next status log time
13,LWM2M: Swmgt Current Block: 0,LWM2M: Swmgt Current Block: 0,FOTA first package initiation
14,LWM2M: Swmgt Current Block: 461,LWM2M: Swmgt Current Block: 461,FOTA packet download
15,NBIT: Cereg: 2,NBIT: Cereg: 2,Network registration/attach
16,NBIT: CME Error: 3 BC66 SubState: 0 BC66 State: PROCESS_REQUEST_Bc66LinkState,NBIT: CME Error: 3 BC66 SubState: 0 BC66 State: PROCESS_REQUEST_Bc66LinkState,CME Error
17,NBIT: CME Error: 32 BC66 SubState: 0 BC66 State: PROCESS_REQUEST_Bc66LinkState,NBIT: CME Error: 32 BC66 SubState: 0 BC66 State: PROCESS_REQUEST_Bc66LinkState,CME Error
